employee_id,first_name,last_name,gender,age
E00001,Laura,Johnson,Non-Binary,29
E00002,Bob,Jones,Male,38
E00003,Tom,Johnson,Male,47
E00004,Mike,Johnson,Female,42
E00005,Laura,Garcia,Male,23
E00006,Sam,Martinez,Non-Binary,39
E00007,Alice,Rodriguez,Male,38
E00008,Laura,Brown,Female,61
E00009,Tom,Garcia,Non-Binary,46
E00010,Mike,Miller,Non-Binary,53
E00011,Bob,Garcia,Non-Binary,23
E00012,Tom,Davis,Non-Binary,57
E00013,Tom,Brown,Male,26
E00014,Alice,Smith,Female,26
E00015,Emily,Miller,Male,45
E00016,Mike,Williams,Male,45
E00017,Jane,Garcia,Non-Binary,38
E00018,Tom,Johnson,Female,28
E00019,Emily,Rodriguez,Non-Binary,39
E00020,Jane,Smith,Male,61
E00021,Mike,Garcia,Male,64
E00022,John,Garcia,Non-Binary,35
E00023,Sam,Jones,Male,36
E00024,Emily,Jones,Male,41
E00025,Eve,Smith,Non-Binary,32
E00026,John,Martinez,Male,31
E00027,Sam,Jones,Female,29
E00028,Alice,Johnson,Non-Binary,20
E00029,Laura,Miller,Female,51
E00030,Bob,Williams,Male,49
E00031,Eve,Brown,Male,27
E00032,Alice,Williams,Non-Binary,40
E00033,Mike,Williams,Male,41
E00034,Alice,Brown,Non-Binary,37
E00035,Laura,Jones,Non-Binary,21
E00036,Mike,Smith,Non-Binary,63
E00037,Eve,Brown,Non-Binary,28
E00038,Laura,Davis,Male,22
E00039,Jane,Martinez,Female,45
E00040,Bob,Miller,Non-Binary,40
E00041,Eve,Rodriguez,Female,49
E00042,Jane,Jones,Male,47
E00043,Sam,Martinez,Non-Binary,55
E00044,Eve,Brown,Male,45
E00045,Sam,Davis,Non-Binary,53
E00046,Mike,Rodriguez,Female,27
E00047,Jane,Miller,Female,29
E00048,Bob,Miller,Female,62
E00049,Laura,Jones,Male,33
E00050,Tom,Brown,Non-Binary,59
E00051,Alice,Martinez,Male,34
E00052,John,Smith,Female,36
E00053,Bob,Martinez,Male,37
E00054,None,Martinez,Female,51
E00055,Tom,Miller,Female,57
E00056,Bob,Smith,Female,42
E00057,Jane,Smith,Non-Binary,42
E00058,Emily,Jones,Non-Binary,54
E00059,Emily,Rodriguez,Female,58
E00060,Sam,Garcia,Male,34
E00061,Bob,Williams,Male,43
E00062,Emily,Williams,Non-Binary,47
E00063,Jane,Miller,Female,35
E00064,Sam,Garcia,Male,35
E00065,Jane,Rodriguez,Female,59
E00066,Sam,Garcia,Male,58
E00067,Bob,Jones,Non-Binary,25
E00068,Tom,Martinez,Female,21
E00069,Laura,Miller,Female,32
E00070,Eve,Smith,Male,63
E00071,Tom,Miller,Male,42
E00072,Mike,Williams,Male,53
E00073,Jane,Rodriguez,Female,36
E00074,Mike,Garcia,Non-Binary,46
E00075,Tom,Rodriguez,Non-Binary,48
E00076,Sam,Jones,Male,56
E00077,Eve,Miller,Male,62
E00078,Eve,Brown,Male,41
E00079,John,Miller,Non-Binary,43
E00080,Eve,Smith,Female,26
E00081,Laura,Miller,Male,53
E00082,Eve,Davis,Non-Binary,31
E00083,Tom,Jones,Female,42
E00084,John,Johnson,Non-Binary,34
E00085,Tom,Jones,Female,52
E00086,Tom,Garcia,Female,32
E00087,Alice,Johnson,Non-Binary,42
E00088,John,Garcia,Non-Binary,57
E00089,Tom,Garcia,Female,51
E00090,Alice,Smith,Female,64
E00091,Alice,Smith,Female,54
E00092,John,Martinez,Male,20
E00093,Mike,Williams,Female,64
E00094,Sam,Martinez,Male,24
E00095,Laura,Martinez,Female,32
E00096,Sam,Williams,Male,24
E00097,Eve,Brown,Female,51
E00098,Laura,Johnson,Female,40
E00099,Eve,Rodriguez,Female,43
E00100,Tom,Martinez,Non-Binary,37
E00101,Jane,Miller,Non-Binary,40
E00102,John,Miller,Female,29
E00103,Laura,Garcia,Male,43
E00104,Laura,Williams,Male,59
E00105,Tom,Garcia,Female,40
